nome;nome_sistema;tombamento;ano;local_sistema;local_exato_ambiente;condicao
Mesa 02;MESA DE MADEIRA COM 02 GAVETAS;43079;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas Corredicas;ARMARIO DE MADEIRA COM PORTAS CORREDICAS;43194;Anterior a 2019;DIBEM;Residencia 2133;Bom
Mesa ;MESA DE MADEIRA PARA MAQUINA DE ESCREVER;44609;Anterior a 2019;DIBEM;;Pendente
Mesa 03;MESA DE MADEIRA COM 03 GAVETAS;47821;Anterior a 2019;DIBEM;Residência 148;Ruim
Mesa 03;MESA DE MADEIRA COM 03 GAVETAS;48583;Anterior a 2019;CASE;Residencia 2133;Ruim
Cadeira Fixa Com Assento E Encosto Estofados;CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS;51445;Anterior a 2019;CASE;;Pendente
Ar Condicionado 14.000 BTUs;"APARELHO DE AR CONDICIONADO DE 14.000 BTU""S";51671;Anterior a 2019;DIBEM;;Pendente
Mesa 04;MESA DE MADEIRA COM 04 GAVETAS;51683;Anterior a 2019;PRAE;Residencia 2133;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;52388;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA PARA MAQUINA DE ESCREVER;54013;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA PARA TELEFONE;54019;Anterior a 2019;DIBEM;;Pendente
Armario De Madeira Com Portas Corredicas;ARMARIO DE MADEIRA COM PORTAS CORREDICAS;55752;Anterior a 2019;CAME;;Pendente
Mesa X;MESA AUXILIAR PARA CONSULTORIO DENTARIO;56860;Anterior a 2019;CAME;;Pendente
Mesa ;MESA PARA REFEITORIO EM MADEIRA PRENSADA REVESTIDO;59136;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA PARA REFEITORIO EM MADEIRA PRENSADA REVESTIDO;59153;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;62412;Anterior a 2019;DIBEM;;Pendente
Mesa X;MESA HOSPITALAR AUXILIAR;65184;Anterior a 2019;CAME;;Pendente
Flanelografo;FLANELOGRAFO;66327;Anterior a 2019;PRAE;;Pendente
Flanelografo;FLANELOGRAFO;66331;Anterior a 2019;DIBEM;;Pendente
Flanelografo;FLANELOGRAFO;66335;Anterior a 2019;DIBEM;Residência 25;Bom
Mesa ;MESA PARA MICROCOMPUTADOR;66475;Anterior a 2019;DIBEM;;Pendente
Conjunto Estofado Composto De 01 Sofa E 02 Poltron;CONJUNTO ESTOFADO COMPOSTO DE 01 SOFA E 02 POLTRON;66629;Anterior a 2019;DIBEM;;Pendente
Mesa 04;MESA DE MADEIRA COM 04 GAVETAS;66690;Anterior a 2019;PRAE;;Pendente
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;67715;Anterior a 2019;DIBEM;;Pendente
Cadeira Com Assento E Encosto Em Polipropileno E E;CADEIRA COM ASSENTO E ENCOSTO EM POLIPROPILENO E E;68216;Anterior a 2019;DIBEM;;Pendente
Guarda-Roupa De Madeira Com Duas Portas;GUARDA-ROUPA DE MADEIRA COM DUAS PORTAS;68437;Anterior a 2019;DIBEM;;Pendente
Ventilador De Teto;VENTILADOR DE TETO;68932;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;69035;Anterior a 2019;DIBEM;;Pendente
Beliche De Aco;BELICHE DE ACO;69036;Anterior a 2019;DIBEM;;Pendente
